No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
148;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DD8904DZ;2013;Hijau;W04DTRJ92033;MJEC1JG43D5095531;K
149;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;KH8484AM;2012;Kuning;4D34THX1713;MHMFE75P6CK022156;K
150;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DD8695LC;2011;Hijau;W04DTRJ38429;MJEC1JG43B5034312;K
151;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8687MQ;2014;Merah;W04DTRR04200;MHFC1JU43E5104714;K
152;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DC8435XA;2014;Hijau;W04DTRR00206;MJEC1JG43E5099715;K
153;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DM8179F;2010;Kuning;4D34TF18947;MHMFE74P5AK025926;K
154;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DT9906DE;2011;Kuning;4D34TGY8758;MHMFE74P5BK061331;K
155;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8126LY;2013;Merah;W04DTRJ72291;MHFC1JU43D5071559;K
156;MF;MITSUBISHI-XPANDER-CROSS NO VARIANT 1.5 MT;AD1527E;2020;Putih;4A91JB0062;MK2NCXPANLJ001577;H
157;MF;TOYOTA-RUSH-1.5 S M/T;Z1158AV;2021;Hitam Metalik;2NRG703268;MHKE8FA3JMK062772;B
158;MF;ISUZU TRUCK 1 - 5 TON DTRNKR 71 HD-E2 M/T;DB8943AR;2011;Putih;B029552;MHCNK71LYBJ029552;K
159;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 75 M/T;KT8722RL;2009;Kuning;4D34TE21305;MHMFE75P69K001436;K
160;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DA1278KA;2010;Kuning;4D34TF88836;MHMFE74P5AK035010;K
161;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;DA9677ZD;2012;Kuning;4D34TH20209;MHMFE75P6CK015507;K
162;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8166LY;2014;Merah;W04DTRR11950;MHFC1JU43E5113459;K
163;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DB8667QA;2009;Hijau;W04DTNJ30752;MJEC1JG4494025673;K
164;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 (4X2) M/T;DB8576EB;2012;Kuning;4D34THX1593;MHMFE74P5CK083210;K
165;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8485XB;2012;Merah;W04DTRJ69386;MHFC1JU43C5067969;K
