No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
;SMS;"DAIHATSU ALL NEW TERIOS R 1,5 MT";BG1514UX;2019;;;;
;SMS;"DAIHATSU XENIA XI DELUXE VVTI 1,3 MT";BG1518KE;2011;;;;
;SMS;DAIHATSU FEROZA 001;BG1520FA;1995;;;;
;SMS;MITSUBISHI KUDA MS228;BG1520L;2001;;;;
;SMS;"NISSAN GRAND LIVINA XV 1,5 MT";BG1520NK;2009;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,5 MT";BG1521RK;2012;;;;
;SMS;TOYOTA AVANZA 15SMT;BG1522PN;2011;;;;
;SMS;TOYOTA KIJANG TY501;BG1524QP;2001;;;;
;SMS;"TOYOTA AGYA G 1,0 MT";BG1526AO;2014;;;;
;SMS;"TOYOTA AGYA G 1,0 MT";BG1527IR;2015;;;;
;SMS;"DAIHATSU ALL NEW XENIA R VVTI 1,3 MT";BG1529BL;2015;;;;
;SMS;"NISSAN GRAND LIVINA SV 1,5 MT";BG1529DL;2011;;;;
;SMS;ISUZU PANTHER IS204;BG1531LU;1998;;;;
;SMS;"TOYOTA INNOVA BENSIN G 2,0 MT";BG1532ME;2005;;;;
;SMS;"NISSAN LIVINA XGEAR 1,5 MT";BG1532VA;2011;;;;
;SMS;"TOYOTA AGYA G 1,2 MT";BG1534FK;2018;;;;
;SMS;TOYOTA KIJANG TY335;BG1537LK;1995;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1538DL;2004;;;;
;SMS;"DAIHATSU XENIA LI DELUXE PLUS VVTI 1,0 MT";BG1540PJ;2010;;;;
;SMS;SUZUKI BALENO SZ123;BG1540QU;2003;;;;
;SMS;"SUZUKI ESCUDO INJECTION 2,0 MT";BG1544LP;2001;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 AT";BG1548KN;2015;;;;
;SMS;HONDA CRV HN512;BG1549LA;2003;;;;
;SMS;"DAIHATSU ALL NEW XENIA M VVTI 1,0 MT";BG1549ZC;2012;;;;
;SMS;SUZUKI SIDEKICK SS002;BG1552MA;1996;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 AT";BG1555JD;2014;;;;
;SMS;SUZUKI KATANA SZ504;BG1555MG;1996;;;;
;SMS;"TOYOTA NEW KIJANG LX 1,8 MT";BG1556CD;2000;;;;
;SMS;TOYOTA KIJANG TY541;BG1556RV;1997;;;;
;SMS;"SUZUKI APV GX 1,5 AT";BG1557YH;2008;;;;
;SMS;"MITSUBISHI PAJERO SPORT GLS 4X2 2,5 MT";BG1558JV;2011;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1559ZX;2010;;;;
;SMS;"MITSUBISHI PAJERO SPORT GLX 4X4 2,5 MT";BG1563RM;2012;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1565AW;2010;;;;
;SMS;SUZUKI KATANA SZ515;BG1566LG;1995;;;;
;SMS;"TOYOTA RUSH G 1,5 MT";BG1566NV;2010;;;;
;SMS;"TOYOTA AVANZA G 1,3 AT";BG1567FI;2005;;;;
;SMS;"TOYOTA AVANZA G 1,3 AT";BG1567FIF;2005;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 AT";BG1569UW;2011;;;;
;SMS;MITSUBISHI KUDA MS228;BG1570LU;1999;;;;
;SMS;"DAIHATSU ALL NEW XENIA M VVTI 1,0 MT";BG1571RN;2012;;;;
;SMS;TOYOTA AVANZA 13GVVTI;BG1573G;2011;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1576OA;2017;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1577CI;2018;;;;
;SMS;"TOYOTA NEW KIJANG KRISTA DIESEL 2,5 MT";BG1580LQ;2001;;;;
;SMS;"HONDA MOBILIO RS 1,5 MT";BG1581CM;2015;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 AT";BG1581IA;2015;;;;
;SMS;TOYOTA KIJANG TY363;BG1582LF;2003;;;;
;SMS;"HONDA JAZZ IDSI 1,5 AT";BG1582RW;2004;;;;
;SMS;"ISUZU NEW PANTHER LS 2,5 MT";BG1584NS;2005;;;;
;SMS;"DAIHATSU XENIA LI DELUXE SPORTY 1,0 MT";BG1585D;2004;;;;
;SMS;"DAIHATSU SIGRA R DELUXE 1,2 MT";BG1585KL;2017;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 MT";BG1586CE;2014;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1586MO;2017;;;;
;SMS;DAIHATSU NEWXENIA VVTISTD;BG1587MD;2006;;;;
;SMS;"HONDA NEW CITY VTEC 1,5 AT";BG1589RB;2005;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1591GM;2009;;;;
;SMS;"TOYOTA RUSH G 1,5 MT";BG1591JS;2012;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1593TM;2008;;;;
;SMS;"DAIHATSU XENIA LI 1,0 M/T";BG1594YM;2004;;;;
;SMS;"HONDA BRV E CVT 1,5 AT";BG1595PI;2020;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 MT";BG1596IX;2014;;;;
;SMS;"DAIHATSU ALL NEW XENIA R SPORTY VVTI 1,3 MT";BG1598AP;2014;;;;
;SMS;"TOYOTA FORTUNER DIESEL G 4X2 2,5 MT";BG15DA;2009;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 AT";BG1602FO;2008;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1605HO;2007;;;;
;SMS;"TOYOTA VIOS G 1,5 MT";BG1607ZT;2003;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,0 AT";BG1609IU;2009;;;;
;SMS;"TOYOTA AGYA G 1,0 AT";BG1611IB;2013;;;;
;SMS;"TOYOTA AGYA G 1,2 MT";BG1617I;2019;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1618RE;2017;;;;
;SMS;"TOYOTA RUSH S 1,5 MT";BG1618UO;2011;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";BG1619LE;2003;;;;
;SMS;SUZUKI CARRY SZ218;BG1620DK;2001;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1621NB;2009;;;;
;SMS;SUZUKI CARRY SZ280;BG1623CQ;2008;;;;
;SMS;"DATSUN GO PLUS PANCA T 1,2 MT";BG1623JH;2017;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI E 1,3 MT";BG1626KC;2014;;;;
;SMS;"SUZUKI APV GL 1,5 MT";BG1627PM;2007;;;;
;SMS;SUZUKI CARRY SZ218;BG1627T;2005;;;;
;SMS;"DAIHATSU XENIA XI DELUXE PLUS VVTI 1,3 MT";BG1629FB;2011;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1629ZL;2013;;;;
;SMS;"DAIHATSU SIGRA R 1,2 MT";BG1640JB;2016;;;;
;SMS;DAIHATSU XENIA DH249-1;BG1642ND;2009;;;;
;SMS;TOYOTA KIJANG TY544;BG1642SY;2000;;;;
;SMS;"HONDA ALL NEW CIVIC IVTEC 1,8 AT";BG1644AI;2008;;;;
;SMS;TOYOTA AVANZA TY294;BG1645DK;2004;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1645ZR;2013;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";BG1646CP;2007;;;;
;SMS;"HONDA BRIO SATYA 1,2 E AT";BG1646KH;2018;;;;
;SMS;TOYOTA KIJANG TY413;BG1650PC;2004;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1654BS;2011;;;;
;SMS;"DAIHATSU ALL NEW XENIA X VVTI 1,3 MT";BG1655TD;2012;;;;
;SMS;"TOYOTA RUSH G 1,5 MT";BG1657JC;2013;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1657RE;2017;;;;
;SMS;"HONDA BRIO RS 1,2 AT";BG1658TG;2019;;;;
;SMS;"DAIHATSU NEW SIGRA FACELIFT D 1,0 MT";BG1660O;2019;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;BG1668P;2018;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1669LJ;2010;;;;
;SMS;TOYOTA AVANZA 13G;BG166C;2005;;;;
;SMS;"TOYOTA NEW AVANZA VVTI E 1,3 MT";BG1670RQ;2012;;;;
;SMS;"DAIHATSU AYLA M SPORTY 1,0 MT";BG1671DF;2013;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;BG1676FH;2017;;;;
;SMS;TOYOTA KIJANG TY352;BG1676MS;2001;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1676QF;2006;;;;
;SMS;"DAIHATSU XENIA XI DELUXE SPORTY VVTI 1,3 MT";BG1677DN;2007;;;;
;SMS;ISUZU PANTHER IS292;BG1679QT;1994;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1680BA;2012;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,0 MT";BG1680FN;2010;;;;
;SMS;"DAIHATSU XENIA XI DELUXE SPORTY 1,3 MT";BG1680RM;2007;;;;
;SMS;SUZUKI CARRY SZ273;BG1681SY;2004;;;;
;SMS;"DAIHATSU ALL NEW XENIA R ATTIVO VVTI 1,3 AT";BG1684ET;2011;;;;
;SMS;TOYOTA KIJANG TY338;BG1685LQ;2003;;;;
;SMS;"TOYOTA RUSH G 1,5 MT";BG1687BN;2014;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1687MO;2017;;;;
;SMS;"TOYOTA INNOVA BENSIN E 2,0 MT";BG1690HB;2007;;;;
;SMS;"SUZUKI CARRY FUTURA GX 1,5 MT";BG1690RC;2011;;;;
;SMS;"DAIHATSU LUXIO M 1,5 MT";BG1695FC;2012;;;;
;SMS;SUZUKI CARRY SZ280;BG1695OL;2005;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X DELUXE 1,3 MT";BG1697DN;2017;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;BG1697JJ;2018;;;;
;SMS;"HONDA BRIO SATYA E 1,2 MT";BG1699FE;2015;;;;
;SMS;"SUZUKI APV ARENA GL 1,5 MT";BG1702ZH;2013;;;;
;SMS;DAIHATSU NEWXENIA VVTIDELUXESPORTYXI13;BG1704PU;2010;;;;
;SMS;"TOYOTA INNOVA BENSIN G 2,0 MT";BG1705AA;2006;;;;
;SMS;DAIHATSU FEROZA 005;BG1705LI;1995;;;;
;SMS;TOYOTA KIJANG TY473;BG1705QL;1999;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1707BN;2006;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1707PU;2011;;;;
;SMS;"SUZUKI BALENO INJECTION 1,5 MT";BG1708UP;2002;;;;
;SMS;"SUZUKI NEW ERTIGA GX 1,4 MT";BG1709FH;2012;;;;
;SMS;"TOYOTA AGYA G 1,0 MT";BG1709GA;2015;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";BG1710KA;2001;;;;
;SMS;"HONDA NEW CIVIC VTI S 1,7 MT";BG1711TA;2002;;;;
;SMS;"DAIHATSU GREAT NEW XENIA R 1,3 MT";BG1711UF;2016;;;;
;SMS;SUZUKI CARRY SZ280;BG1713LC;2003;;;;
;SMS;ISUZU PANTHER IS204;BG1718L;1996;;;;
;SMS;"HONDA NEW CITY IDSI 1,5 MT";BG1718QN;2006;;;;
;SMS;HONDA JAZZ GD315MT;BG171CA;2007;;;;
;SMS;DAIHATSU XENIA DH255-1;BG1721NL;2009;;;;
;SMS;SUZUKI SX4 XOVER15MT;BG1726MT;2008;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1728FB;2011;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 MT";BG1730UY;2012;;;;
;SMS;"DAIHATSU XENIA LI DELUXE PLUS 1,0 MT";BG1733NS;2010;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1735DO;2017;;;;
;SMS;TOYOTA KIJANG TY541;BG1740D;2002;;;;
;SMS;MITSUBISHI KUDA MS239;BG1740MK;2002;;;;
;SMS;"SUZUKI APV GL 1,5 MT";BG1740NP;2005;;;;
;SMS;"TOYOTA GRAND NEW INNOVA BENSIN G 2,0 MT";BG1740YB;2013;;;;
;SMS;"DAIHATSU ALL NEW XENIA X VVTI 1,3 MT";BG1741AC;2014;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,0 AT";BG1745ZJ;2007;;;;
;SMS;"DAIHATSU XENIA LI DELUXE VVTI 1,0 MT";BG1746FP;2011;;;;
;SMS;"TOYOTA NEW KIJANG KRISTA 2,0 MT";BG1746QO;2000;;;;
;SMS;TOYOTA KIJANG TY440;BG1748QN;2000;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1749NR;2005;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1749PO;2011;;;;
;SMS;"TOYOTA NEW FORTUNER DIESEL G 4X2 TRD 2,5 AT";BG1750IE;2014;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";BG1752PJ;2010;;;;
;SMS;DAIHATSU TARUNA DH224;BG1753LF;2002;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1755ZH;2012;;;;
;SMS;TOYOTA KIJANG TY367;BG1759LI;1997;;;;
;SMS;TOYOTA KIJANG TY404;BG1762MG;2001;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";BG1766AC;2014;;;;
;SMS;KIA TIMOR TM104;BG1767MK;2001;;;;
;SMS;HONDA NEWCRV 1-2;BG1769MC;2005;;;;
;SMS;"TOYOTA NEW INNOVA DIESEL G 2,5 MT";BG1770FB;2008;;;;
;SMS;TOYOTA AVANZA 13GVVTI;BG1770NN;2010;;;;
;SMS;"SUZUKI KARIMUN ESTILO 1,1 MT";BG1775AD;2007;;;;
;SMS;DAIHATSU FEROZA 003;BG1775LH;1996;;;;
;SMS;ISUZU PANTHER IS204;BG1776C;1997;;;;
;SMS;"DATSUN GO PLUS PANCA T 1,2 MT";BG1778OD;2018;;;;
;SMS;TOYOTA KIJANG TY420;BG1779RV;2006;;;;
;SMS;TOYOTA AVANZA 13GVVTI;BG1784QA;2006;;;;
;SMS;DAIHATSU FEROZA 005;BG1787LJ;1995;;;;
;SMS;"TOYOTA YARIS E 1,5 AT";BG1789C;2006;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1789JE;2016;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLS 2,5 MT";BG1789VA;2000;;;;
;SMS;TOYOTA KIJANG TY535;BG1793FW;2007;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1794IG;2004;;;;
;SMS;DAIHATSU XENIA DH246;BG1794NH;2006;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1796HG;2019;;;;
;SMS;"TOYOTA NEW VIOS G 1,5 MT";BG1798NJ;2009;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1799T;2011;;;;
;SMS;NISSAN TERRANO NS510;BG17OI;2004;;;;
;SMS;SUZUKI APV GL;BG1800LB;2006;;;;
;SMS;"TOYOTA RUSH G 1,5 MT";BG1803BE;2011;;;;
;SMS;ISUZU PANTHER IS295;BG1803DB;1995;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1803JG;2017;;;;
;SMS;"DAIHATSU ALL NEW XENIA M VVTI 1,0 MT";BG1806JB;2012;;;;
;SMS;"DAIHATSU ALL NEW XENIA X VVTI 1,3 MT";BG1806TB;2013;;;;
;SMS;NISSAN TERRANO NS507;BG1811QI;2000;;;;
;SMS;"HONDA BRIO RS 1,2 MT";BG1812DN;2017;;;;
;SMS;"TOYOTA NEW FORTUNER DIESEL G 4X2 2,5 MT";BG1813LQ;2012;;;;
;SMS;"TOYOTA GRAND NEW AVANZA E 1,3 MT";BG1819UA;2015;;;;
;SMS;"SUZUKI CARRY FUTURA DX 1,5 MT";BG1819Y;2006;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1820KH;2013;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";BG1821NK;2007;;;;
;SMS;"TOYOTA AGYA G 1,0 MT";BG1821YC;2015;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 AT";BG1823BC;2015;;;;
;SMS;HONDA CITY HN147-1;BG1823MB;2004;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;BG1823TB;2013;;;;
;SMS;"TOYOTA COROLLA XLI 1,8 MT";BG1824LR;1998;;;;
;SMS;"TOYOTA GRAND NEW AVANZA E 1,3 MT";BG1825CI;2018;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";BG1828PQ;2011;;;;
;SMS;"TOYOTA ALL NEW YARIS G 1,5 AT";BG1830UG;2016;;;;
;SMS;DAIHATSU FEROZA 003;BG1838LD;1994;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";BG1838LU;2002;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";BG1841N;2018;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 MT";BG1844HB;2012;;;;
;SMS;"DAIHATSU XENIA LI 1,0 M/T";BG1847FK;2005;;;;
;SMS;"DAIHATSU SIGRA D 1,0 MT";BG1847JP;2021;;;;
;SMS;"TOYOTA NEW CALYA FACELIFT E 1,2 MT";BG1848NW;2021;;;;
;SMS;"TOYOTA NEW KIJANG LGX DIESEL 2,5 D MT";BG1852LX;2001;;;;
;SMS;"HONDA BRIO IVTEC S 1,3 AT";BG1853NU;2012;;;;
;SMS;"SUZUKI APV GX 1,5 MT";BG1856C;2007;;;;
;SMS;"DAIHATSU TARUNA FGZ EFI 1,6 MT";BG1857RO;2001;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 MT";BG1858YB;2013;;;;
;SMS;DAIHATSU TAFT DH518;BG1859QR;1996;;;;
;SMS;SUZUKI CARRY SZ284;BG1860LF;1996;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1862MO;2017;;;;
;SMS;"NISSAN SERENA HIGH WAY STAR 2,0 AT";BG1863NK;2009;;;;
;SMS;"ISUZU NEW PANTHER TOURING 2,5 MT";BG1864LK;2003;;;;
;SMS;"DATSUN GO PANCA T HATCHBACK 1,2 MT";BG1865OH;2017;;;;
;SMS;"TOYOTA YARIS S 1,5 AT";BG1869FI;2013;;;;
;SMS;"TOYOTA YARIS S 1,5 AT";BG1869FIF;2013;;;;
;SMS;"TOYOTA INNOVA BENSIN G 2,0 MT";BG1870GQ;2005;;;;
;SMS;SUZUKI CARRY SZ122;BG1873LF;2003;;;;
;SMS;"SUZUKI APV ARENA GL 1,5 MT";BG1874PU;2011;;;;
;SMS;"TOYOTA NEW INNOVA J BENSIN 2,0 MT";BG1876BC;2009;;;;
;SMS;"DAIHATSU GRAND NEW XENIA R 1,3 MT";BG1877CH;2017;;;;
;SMS;TOYOTA AVANZA TY294;BG1878MJ;2004;;;;
;SMS;"DAIHATSU GRAND NEW XENIA R 1,3 MT";BG1879CH;2017;;;;
;SMS;"SUZUKI CARRY FUTURA GX 1,5 MT";BG1881Y;2007;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;BG1882FB;2011;;;;
;SMS;"NISSAN XTRAIL STT 2,0 MT";BG1883ML;2007;;;;
;SMS;"SUZUKI APV ARENA GL 1,5 MT";BG1884PR;2011;;;;
;SMS;"HONDA NEW JAZZ IVTEC S 1,5 MT";BG1885GL;2008;;;;
;SMS;"HONDA BRIO IVTEC S 1,3 AT";BG1885NY;2012;;;;
;SMS;"HONDA BRIO SATYA E 1,2 MT";BG1885UC;2016;;;;
;SMS;"TOYOTA YARIS S 1,5 AT";BG1886FA;2010;;;;
;SMS;MITSUBISHI KUDA MS248;BG1889LR;2001;;;;
;SMS;TOYOTA KIJANG TY487;BG1889PH;1996;;;;
;SMS;DAIHATSU TAFT DH518;BG1890AS;1995;;;;
;SMS;DAIHATSU FEROZA 003;BG1891DC;1996;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 MT";BG1893PS;2015;;;;
;SMS;"SUZUKI APV ARENA GL 1,5 MT";BG1895HV;2014;;;;
;SMS;SUZUKI CARRY SZ218;BG1897PF;2004;;;;
;SMS;TOYOTA AVANZA 13GVVTI;BG1898FB;2011;;;;
;SMS;TOYOTA KIJANG TY537;BG18FD;2000;;;;
;SMS;"DAIHATSU XENIA LI DELUXE SPORTY 1,0 MT";BG1904MI;2007;;;;
;SMS;"SUZUKI APV GX 1,5 MT";BG1908DB;2006;;;;
;SMS;SUZUKI APV GX;BG1911LO;2005;;;;
;SMS;"TOYOTA AVANZA G 1,3 MT";BG1911MD;2006;;;;
;SMS;"DAIHATSU TERIOS TX ADVENTURE 1,5 MT";BG1914UW;2011;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";BG1915VA;2016;;;;
;SMS;"HONDA BRIO SATYA E 1,2 MT";BG1917LE;2014;;;;
;SMS;"MITSUBISHI PAJERO SPORT EXCEED 4X2 2,5 AT";BG1921QH;2009;;;;
;SMS;TOYOTA KIJANG TY473;BG1928LQ;2000;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 MT";BG1930BA;2013;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 MT";BG1930HC;2013;;;;
;SMS;"SUZUKI ERTIGA GX 1,4 MT";BG1935AT;2012;;;;
;SMS;DAIHATSU XENIA DH246-1;BG1936OL;2007;;;;
;SMS;"DATSUN GO PANCA T HATCHBACK 1,2 MT";BG1936OS;2017;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";BG1937KO;2011;;;;
;SMS;HONDA JAZZ GD315MT-1;BG1947L;2004;;;;
;SMS;"DAIHATSU NEW SIGRA FACELIFT M 1,0 MT";BG1949JL;2019;;;;
;SMS;"DAIHATSU XENIA XI DELUXE VVTI 1,3 MT";BG1950IP;2011;;;;
;SMS;TOYOTA AVANZA 13GVVTI;BG1951B;2011;;;;
;SMS;DAIHATSU FEROZA 002;BG1953HA;1996;;;;
;SMS;"TOYOTA ALL NEW YARIS G 1,5 AT";BG1954AP;2014;;;;
;SMS;"TOYOTA FORTUNER DIESEL G 4X2 2,5 MT";BG1965VD;2008;;;;
;SMS;"MITSUBISHI KUDA BENSIN GLX 1,6 MT";BG1969LH;2003;;;;
;SMS;TOYOTA AVANZA TY293;BG1970EG;2005;;;;
;SMS;"SUZUKI APV GX 1,5 MT";BG1971HA;2006;;;;
;SMS;"HONDA BRIO SATYA 1,2 E AT";BG1972UI;2014;;;;
;SMS;"TOYOTA YARIS J 1,5 MT";BG1981FI;2012;;;;
;SMS;DAIHATSU FEROZA 001;BG1995AT;1997;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG1995C;2008;;;;
;SMS;SUZUKI CARRY SZ218;BG2037GA;2002;;;;
;SMS;SUZUKI CARRY SZ219;BG-2037-HD;2002;;;;
;SMS;SUZUKI CARRY SZ290;BG2055NA;2002;;;;
;SMS;SUZUKI CARRY FUTURAST130;BG2061MK;1996;;;;
;SMS;TOYOTA KIJANG TY335;BG2098LJ;1994;;;;
;SMS;MITSUBISHI KUDA MS227;BG-2099-NB;2002;;;;
;SMS;MITSUBISHI KUDA MS226;BG2100NE;2003;;;;
;SMS;SUZUKI CARRY SZ219;BG2108ED;2001;;;;
;SMS;TOYOTA KIJANG KF40S;BG2108MH;1996;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";BG2109EA;2010;;;;
;SMS;"SUZUKI CARRY FUTURA GX 1,5 MT";BG2115B;2005;;;;
;SMS;MITSUBISHI KUDA MS234;BG2123F;2005;;;;
;SMS;"MITSUBISHI KUDA BENSIN SUPER EXCEED 1,6 MT";BG2132NA;2002;;;;
;SMS;TOYOTA AVANZA 15SMT;BG2145EA;2010;;;;
;SMS;ISUZU PANTHER IS289;BG2168MF;1995;;;;
;SMS;ISUZU PANTHER IS273;BG2199MD;1994;;;;
;SMS;TOYOTA GRAND NEW KIJANG INNOVA G-1;BG21AN;2013;;;;
;SMS;SUZUKI CARRY SZ290;BG2213ED;2002;;;;
;SMS;"TOYOTA NEW KIJANG LSX DIESEL 2,5 MT";BG2213LD;2001;;;;
;SMS;MITSUBISHI KUDA MS227;BG2214MW;2001;;;;
;SMS;"TOYOTA NEW KIJANG LX DIESEL 2,5 MT";BG2230LC;2001;;;;
;SMS;ISUZU PANTHER IS270;BG-2235-LG;1997;;;;
;SMS;MITSUBISHI KUDA MS234;BG2246NB;2002;;;;
;SMS;MITSUBISHI KUDA MS240;BG2258DK;2001;;;;
;SMS;"TOYOTA NEW KIJANG LGX DIESEL 2,5 D MT";BG2306LC;2001;;;;
;SMS;MITSUBISHI KUDA MS239;BG2323LL;1999;;;;
;SMS;ISUZU PANTHER IS292;BG2340MC;1996;;;;
;SMS;MITSUBISHI KUDA MS240;BG2344LG;2001;;;;
;SMS;SUZUKI CARRY SZ285;BG2349D;2006;;;;
;SMS;TOYOTA AVANZA TY294;BG2355G;2007;;;;
;SMS;SUZUKI CARRY SZ273;BG2363Y;2001;;;;
;SMS;ISUZU PANTHER IS273;BG2369NA;1995;;;;
;SMS;SUZUKI CARRY SZ284;BG2386CA;1997;;;;
;SMS;MITSUBISHI KUDA MS236;BG2396NA;2002;;;;
;SMS;MITSUBISHI KUDA MS227;BG2423MT;2000;;;;
;SMS;SUZUKI CARRY SZ290;BG2427LB;2003;;;;
;SMS;HONDA CITY HN139;BG242DR;2001;;;;
;SMS;TOYOTA KIJANG TY474;BG2433CA;2003;;;;
;SMS;SUZUKI CARRY SZ290;BG2436EB;2003;;;;
;SMS;MITSUBISHI KUDA MS228;BG2437LJ;2000;;;;
;SMS;SUZUKI CARRY SZ284;BG2439CA;1995;;;;
;SMS;SUZUKI CARRY SZ218;BG2467LH;2005;;;;
;SMS;MITSUBISHI KUDA MS228;BG2477LC;2000;;;;
;SMS;TOYOTA KIJANG TY369;BG2497LG;2003;;;;
;SMS;TOYOTA KIJANG TY499;BG2497MH;1996;;;;
;SMS;SUZUKI CARRY SZ218;BG2503EB;2004;;;;
;SMS;SUZUKI CARRY SZ291;BG2514MP;1999;;;;
;SMS;ISUZU PANTHER IS273;BG2526MP;1996;;;;
;SMS;"SUZUKI CARRY FUTURA DX 1,5 MT";BG2542LG;2004;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";BG2544LD;1997;;;;
;SMS;"MITSUBISHI KUDA BENSIN GLX 1,6 MT";BG2558NE;2000;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;BG2569LK;1995;;;;
;SMS;TOYOTA KIJANG TY415;BG2601HD;2007;;;;
;SMS;SUZUKI CARRY SZ122;BG-2601-LG;2000;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLX 2,5 MT";BG2603NA;2001;;;;
;SMS;MITSUBISHI COLT T120SS;BG-2609-MR;2000;;;;
;SMS;ISUZU PANTHER IS204;BG2617LD;1997;;;;
;SMS;SUZUKI CARRY SZ294;BG2627HB;1998;;;;
;SMS;MITSUBISHI KUDA MS230;BG2654LH;2002;;;;
;SMS;SUZUKI CARRY SZ291;BG2661MS;2000;;;;
